,title,subtitle,productType,productSubType,color,url,imageUrl,currentPrice,discountPercentage,initialPrice
2956,Nike Offcourt (NFL New Orleans Saints),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-new-orleans-saints-slide-mZpSLW/DD0544-002,https://static.nike.com/a/images/t_default/43a2aaee-7d1b-4f78-bad8-6fda88798f4a/NIKE+OFFCOURT+SLIDE+SAINTS.png,28.97,27,40
2957,Nike Offcourt (NFL Las Vegas Raiders),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-las-vegas-raiders-slide-d1xkQN/DD0542-002,https://static.nike.com/a/images/t_default/5f611742-92c9-4240-a567-996b61233c8e/NIKE+OFFCOURT+SLIDE+RAIDERS.png,28.97,27,40
2958,Nike Offcourt (NFL Cincinnati Bengals),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-cincinnati-bengals-slide-HTLZsv/DD0511-002,https://static.nike.com/a/images/t_default/588b1fd4-b6dd-4758-8b56-0bda086eecfd/NIKE+OFFCOURT+SLIDE+BENGALS.png,28.97,27,40
2959,Nike Offcourt (NFL Pittsburgh Steelers),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-pittsburgh-steelers-slide-2LFclF/DD0547-002,https://static.nike.com/a/images/t_default/fdb15d3f-fba3-4b3a-acb2-cdff102fef3e/NIKE+OFFCOURT+SLIDE+STEELERS.png,28.97,27,40
2960,Nike Offcourt (Green Bay Packers),Offcourt Slides,FOOTWEAR,,Green,https://www.nike.com/t/offcourt-green-bay-packers-offcourt-slides-qMj1TL/FN4312-300,https://static.nike.com/a/images/t_default/b0c2a12f-e754-4519-9113-73fafc191523/NIKE+OFFCOURT+SLIDE+PACKERS.png,40,0,40
2961,Nike Offcourt (Las Vegas Raiders),Offcourt Slides,FOOTWEAR,,Black,https://www.nike.com/t/offcourt-las-vegas-raiders-offcourt-slides-F34Hnf/FN4454-001,https://static.nike.com/a/images/t_default/a7923322-3c33-46e0-a6d9-b6fa4805eefd/NIKE+OFFCOURT+SLIDE+RAIDERS.png,40,0,40
2962,Nike Offcourt (New Orleans Saints),Offcourt Slides,FOOTWEAR,,Black,https://www.nike.com/t/offcourt-new-orleans-saints-offcourt-slides-8jbX5C/FN4465-001,https://static.nike.com/a/images/t_default/9b286a20-989c-451e-bf6c-9d77200740b1/NIKE+OFFCOURT+SLIDE+SAINTS.png,40,0,40
2963,Nike Offcourt (NFL Buffalo Bills),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-buffalo-bills-slide-Kw8ljn/DD0510-002,https://static.nike.com/a/images/t_default/c4d1c441-fea9-41ef-ac3d-0e32c5e3e09c/NIKE+OFFCOURT+SLIDE+BILLS.png,40,0,40
2964,Nike Offcourt (Philadelphia Eagles),Offcourt Slides,FOOTWEAR,,Green,https://www.nike.com/t/offcourt-philadelphia-eagles-offcourt-slides-609Xrr/FN4133-300,https://static.nike.com/a/images/t_default/e6797b8e-b410-434b-8665-e09c213a252e/NIKE+OFFCOURT+SLIDE+EAGLES.png,40,0,40
2965,Nike Offcourt (NFL Green Bay Packers),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-green-bay-packers-slide-XsTKLx/DD0539-002,https://static.nike.com/a/images/t_default/4aeb35d9-2977-448d-8316-db591799f373/NIKE+OFFCOURT+SLIDE+PACKERS.png,40,0,40
2966,Nike Offcourt (NFL Indianapolis Colts),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-indianapolis-colts-slide-ZBFDPQ/DD0517-002,https://static.nike.com/a/images/t_default/39d1e383-1042-463d-b772-c6710c91d572/NIKE+OFFCOURT+SLIDE+COLTS.png,40,0,40
2967,Nike Offcourt (NFL New York Jets),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-new-york-jets-slide-f2SVph/DD0528-002,https://static.nike.com/a/images/t_default/f8757df0-f43d-4cb9-96ca-0eb7413e1060/NIKE+OFFCOURT+SLIDE+JETS.png,40,0,40
2968,Nike Offcourt (NFL Miami Dolphins),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-miami-dolphins-slide-6zpB3R/DD0520-002,https://static.nike.com/a/images/t_default/0b9559d0-98d5-4110-845e-a615eb0def95/NIKE+OFFCOURT+SLIDE+DOLPHINS.png,40,0,40
